"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.211332840E-1,1.316052526E-1,4.307080805E-2,9.774979591E0,9.775960365E0
3.235402630E-1,1.316052526E-1,5.503492057E-2,9.760622978E0,9.761665314E0
3.259472420E-1,1.148554832E-1,4.546362907E-2,9.729516029E0,9.730300144E0
3.283542220E-1,1.316052526E-1,4.307080805E-2,9.700801849E0,9.701790121E0
3.307612530E-1,1.244267747E-1,5.264209956E-2,9.700801849E0,9.701742613E0
3.331682320E-1,1.339980662E-1,3.828516230E-2,9.729516029E0,9.730514036E0
3.355752110E-1,1.268195957E-1,5.503492057E-2,9.724730492E0,9.725713094E0
3.379821900E-1,1.435693651E-1,5.264209956E-2,9.722337723E0,9.723540207E0
3.403892220E-1,1.268195957E-1,6.939185411E-2,9.724730492E0,9.725804932E0
3.427962010E-1,1.244267747E-1,6.939185411E-2,9.736694336E0,9.737736587E0
3.452031800E-1,1.244267747E-1,7.657032460E-2,9.765408516E0,9.766501345E0
3.476101590E-1,1.339980662E-1,6.699903309E-2,9.806086540E0,9.807230883E0
3.500171380E-1,1.196411327E-1,5.982056633E-2,9.808479309E0,9.809391360E0
3.524241690E-1,1.292124242E-1,6.939185411E-2,9.782157898E0,9.783257342E0
3.548311490E-1,1.244267747E-1,5.742774159E-2,9.791728973E0,9.792687897E0
3.572381280E-1,1.172483116E-1,5.742774159E-2,9.791728973E0,9.792599318E0
3.596451590E-1,1.148554832E-1,5.264209956E-2,9.794121742E0,9.794936635E0
3.620521380E-1,1.124626622E-1,6.699903309E-2,9.753444672E0,9.754323128E0
3.644591170E-1,1.028913707E-1,4.546362907E-2,9.705587387E0,9.706239236E0
3.668660970E-1,9.092725813E-2,5.264209956E-2,9.688838005E0,9.689407662E0
3.692731280E-1,1.004985496E-1,5.264209956E-2,9.700801849E0,9.701465233E0
3.716801070E-1,9.571290761E-2,5.982056633E-2,9.724730492E0,9.725385473E0
3.740870860E-1,1.076770201E-1,5.503492057E-2,9.751050949E0,9.751800746E0
3.764940650E-1,1.052841991E-1,5.024927482E-2,9.736694336E0,9.737393201E0
3.789010440E-1,1.124626622E-1,7.178468257E-2,9.734301567E0,9.735215863E0
3.813080760E-1,1.148554832E-1,6.221338734E-2,9.760622978E0,9.761496976E0
3.837150550E-1,1.172483116E-1,5.024927482E-2,9.779765129E0,9.780597024E0
3.861220340E-1,1.100698411E-1,7.417750359E-2,9.801301003E0,9.802199703E0
3.885290130E-1,9.092725813E-2,5.742774159E-2,9.808479309E0,9.809068869E0
3.909360440E-1,1.028913707E-1,5.503492057E-2,9.806086540E0,9.806780752E0
3.933430240E-1,1.004985496E-1,5.982056633E-2,9.789336205E0,9.790034820E0
3.957500030E-1,1.052841991E-1,5.982056633E-2,9.765408516E0,9.766159263E0
3.981569820E-1,8.374879509E-2,6.221338734E-2,9.741479874E0,9.742038518E0
4.005640130E-1,1.100698411E-1,5.503492057E-2,9.736694336E0,9.737471992E0
4.029709920E-1,1.220339537E-1,5.264209956E-2,9.715159416E0,9.716068441E0
4.053779720E-1,9.810572863E-2,4.546362907E-2,9.712766647E0,9.713368500E0
4.077849510E-1,8.853443712E-2,5.024927482E-2,9.717552185E0,9.718085398E0
4.101919820E-1,8.374879509E-2,6.460621208E-2,9.746265411E0,9.746839349E0
4.125989610E-1,8.853443712E-2,7.417750359E-2,9.774979591E0,9.775661955E0
4.150059400E-1,9.810572863E-2,8.135596663E-2,9.801301003E0,9.802129609E0
4.174129190E-1,1.004985496E-1,8.853443712E-2,9.827920914E0,9.828833491E0
4.198199510E-1,9.092725813E-2,7.178468257E-2,9.832706451E0,9.833388885E0
4.222269300E-1,9.332008660E-2,6.221338734E-2,9.837491989E0,9.838131315E0
4.246339090E-1,9.571290761E-2,5.742774159E-2,9.830313683E0,9.830947360E0
